"CY19-H1","201904","CY19Q2","2019","HTD-06","FY19-H1","H1","HTM-05","FY19M06","FY19-Q2","Q2","QTD-12","QTM-11","FY19","YTD-03","YTM-02","MTD-34","MTM-33"
"CY19-H2","201907","CY19Q3","2019","HTD-05","FY19-H2","H2","HTM-04","FY19M09","FY19-Q3","Q3","QTD-11","QTM-10","FY19","YTD-03","YTM-02","MTD-31","MTM-30"
"CY19-H2","201909","CY19Q3","2019","HTD-05","FY19-H2","H2","HTM-04","FY19M11","FY19-Q4","Q4","QTD-10","QTM-09","FY19","YTD-03","YTM-02","MTD-29","MTM-28"
"CY20-H2","202011","CY20Q4","2020","HTD-02","FY21-H1","H1","HTM-01","FY21M01","FY21-Q1","Q1","QTD-05","QTM-04","FY21","YTD-01","YTM","MTD-15","MTM-14"
"CY14-H1","201404","CY14Q2","2014","HTD-16","FY14-H1","H1","HTM-15","FY14M06","FY14-Q2","Q2","QTD-32","QTM-31","FY14","YTD-08","YTM-07","MTD-94","MTM-93"
"CY14-H1","201406","CY14Q2","2014","HTD-15","FY14-H2","H2","HTM-14","FY14M08","FY14-Q3","Q3","QTD-31","QTM-30","FY14","YTD-08","YTM-07","MTD-92","MTM-91"
"CY14-H2","201408","CY14Q3","2014","HTD-15","FY14-H2","H2","HTM-14","FY14M10","FY14-Q4","Q4","QTD-30","QTM-29","FY14","YTD-08","YTM-07","MTD-90","MTM-89"
"CY14-H2","201410","CY14Q4","2014","HTD-15","FY14-H2","H2","HTM-14","FY14M12","FY14-Q4","Q4","QTD-30","QTM-29","FY14","YTD-08","YTM-07","MTD-88","MTM-87"
"CY15-H2","201511","CY15Q4","2015","HTD-12","FY16-H1","H1","HTM-11","FY16M01","FY16-Q1","Q1","QTD-25","QTM-24","FY16","YTD-06","YTM-05","MTD-75","MTM-74"
"CY16-H1","201604","CY16Q2","2016","HTD-12","FY16-H1","H1","HTM-11","FY16M06","FY16-Q2","Q2","QTD-24","QTM-23","FY16","YTD-06","YTM-05","MTD-70","MTM-69"
"CY16-H2","201611","CY16Q4","2016","HTD-10","FY17-H1","H1","HTM-09","FY17M01","FY17-Q1","Q1","QTD-21","QTM-20","FY17","YTD-05","YTM-04","MTD-63","MTM-62"
"CY17-H1","201701","CY17Q1","2017","HTD-10","FY17-H1","H1","HTM-09","FY17M03","FY17-Q1","Q1","QTD-21","QTM-20","FY17","YTD-05","YTM-04","MTD-61","MTM-60"
"CY17-H1","201704","CY17Q2","2017","HTD-10","FY17-H1","H1","HTM-09","FY17M06","FY17-Q2","Q2","QTD-20","QTM-19","FY17","YTD-05","YTM-04","MTD-58","MTM-57"
"CY17-H2","201707","CY17Q3","2017","HTD-09","FY17-H2","H2","HTM-08","FY17M09","FY17-Q3","Q3","QTD-19","QTM-18","FY17","YTD-05","YTM-04","MTD-55","MTM-54"
"CY17-H2","201712","CY17Q4","2017","HTD-08","FY18-H1","H1","HTM-07","FY18M02","FY18-Q1","Q1","QTD-17","QTM-16","FY18","YTD-04","YTM-03","MTD-50","MTM-49"
"CY18-H1","201803","CY18Q1","2018","HTD-08","FY18-H1","H1","HTM-07","FY18M05","FY18-Q2","Q2","QTD-16","QTM-15","FY18","YTD-04","YTM-03","MTD-47","MTM-46"
"CY19-H1","201905","CY19Q2","2019","HTD-05","FY19-H2","H2","HTM-04","FY19M07","FY19-Q3","Q3","QTD-11","QTM-10","FY19","YTD-03","YTM-02","MTD-33","MTM-32"
"CY20-H2","202007","CY20Q3","2020","HTD-03","FY20-H2","H2","HTM-02","FY20M09","FY20-Q3","Q3","QTD-07","QTM-06","FY20","YTD-02","YTM-01","MTD-19","MTM-18"
"CY20-H2","202008","CY20Q3","2020","HTD-03","FY20-H2","H2","HTM-02","FY20M10","FY20-Q4","Q4","QTD-06","QTM-05","FY20","YTD-02","YTM-01","MTD-18","MTM-17"
"CY20-H2","202009","CY20Q3","2020","HTD-03","FY20-H2","H2","HTM-02","FY20M11","FY20-Q4","Q4","QTD-06","QTM-05","FY20","YTD-02","YTM-01","MTD-17","MTM-16"
"CY21-H2","202107","CY21Q3","2021","HTD-01","FY21-H2","H2","HTM","FY21M09","FY21-Q3","Q3","QTD-03","QTM-02","FY21","YTD-01","YTM","MTD-07","MTM-06"
"CY21-H2","202112","CY21Q4","2021","HTD","FY22-H1","H1",".","FY22M02","FY22-Q1","Q1","QTD-01","QTM","FY22","YTD",".","MTD-02","MTM-01"
"CY15-H1","201502","CY15Q1","2015","HTD-14","FY15-H1","H1","HTM-13","FY15M04","FY15-Q2","Q2","QTD-28","QTM-27","FY15","YTD-07","YTM-06","MTD-84","MTM-83"
"CY16-H2","201610","CY16Q4","2016","HTD-11","FY16-H2","H2","HTM-10","FY16M12","FY16-Q4","Q4","QTD-22","QTM-21","FY16","YTD-06","YTM-05","MTD-64","MTM-63"
"CY17-H1","201703","CY17Q1","2017","HTD-10","FY17-H1","H1","HTM-09","FY17M05","FY17-Q2","Q2","QTD-20","QTM-19","FY17","YTD-05","YTM-04","MTD-59","MTM-58"
"CY17-H2","201711","CY17Q4","2017","HTD-08","FY18-H1","H1","HTM-07","FY18M01","FY18-Q1","Q1","QTD-17","QTM-16","FY18","YTD-04","YTM-03","MTD-51","MTM-50"
"CY21-H1","202103","CY21Q1","2021","HTD-02","FY21-H1","H1","HTM-01","FY21M05","FY21-Q2","Q2","QTD-04","QTM-03","FY21","YTD-01","YTM","MTD-11","MTM-10"
"CY21-H2","202109","CY21Q3","2021","HTD-01","FY21-H2","H2","HTM","FY21M11","FY21-Q4","Q4","QTD-02","QTM-01","FY21","YTD-01","YTM","MTD-05","MTM-04"
"CY21-H2","202110","CY21Q4","2021","HTD-01","FY21-H2","H2","HTM","FY21M12","FY21-Q4","Q4","QTD-02","QTM-01","FY21","YTD-01","YTM","MTD-04","MTM-03"
"CY15-H1","201504","CY15Q2","2015","HTD-14","FY15-H1","H1","HTM-13","FY15M06","FY15-Q2","Q2","QTD-28","QTM-27","FY15","YTD-07","YTM-06","MTD-82","MTM-81"
"CY17-H1","201705","CY17Q2","2017","HTD-09","FY17-H2","H2","HTM-08","FY17M07","FY17-Q3","Q3","QTD-19","QTM-18","FY17","YTD-05","YTM-04","MTD-57","MTM-56"
"CY18-H1","201804","CY18Q2","2018","HTD-08","FY18-H1","H1","HTM-07","FY18M06","FY18-Q2","Q2","QTD-16","QTM-15","FY18","YTD-04","YTM-03","MTD-46","MTM-45"
"CY18-H2","201807","CY18Q3","2018","HTD-07","FY18-H2","H2","HTM-06","FY18M09","FY18-Q3","Q3","QTD-15","QTM-14","FY18","YTD-04","YTM-03","MTD-43","MTM-42"
"CY18-H2","201809","CY18Q3","2018","HTD-07","FY18-H2","H2","HTM-06","FY18M11","FY18-Q4","Q4","QTD-14","QTM-13","FY18","YTD-04","YTM-03","MTD-41","MTM-40"
"CY18-H2","201811","CY18Q4","2018","HTD-06","FY19-H1","H1","HTM-05","FY19M01","FY19-Q1","Q1","QTD-13","QTM-12","FY19","YTD-03","YTM-02","MTD-39","MTM-38"
"CY19-H1","201901","CY19Q1","2019","HTD-06","FY19-H1","H1","HTM-05","FY19M03","FY19-Q1","Q1","QTD-13","QTM-12","FY19","YTD-03","YTM-02","MTD-37","MTM-36"
"CY20-H2","202012","CY20Q4","2020","HTD-02","FY21-H1","H1","HTM-01","FY21M02","FY21-Q1","Q1","QTD-05","QTM-04","FY21","YTD-01","YTM","MTD-14","MTM-13"
"CY22-H1","202202","CY22Q1","2022","HTD","FY22-H1","H1",".","FY22M04","FY22-Q2","Q2","QTD",".","FY22","YTD",".","MTD","."
"CY16-H2","201609","CY16Q3","2016","HTD-11","FY16-H2","H2","HTM-10","FY16M11","FY16-Q4","Q4","QTD-22","QTM-21","FY16","YTD-06","YTM-05","MTD-65","MTM-64"
"CY20-H1","202001","CY20Q1","2020","HTD-04","FY20-H1","H1","HTM-03","FY20M03","FY20-Q1","Q1","QTD-09","QTM-08","FY20","YTD-02","YTM-01","MTD-25","MTM-24"
"CY20-H1","202002","CY20Q1","2020","HTD-04","FY20-H1","H1","HTM-03","FY20M04","FY20-Q2","Q2","QTD-08","QTM-07","FY20","YTD-02","YTM-01","MTD-24","MTM-23"
"CY20-H1","202005","CY20Q2","2020","HTD-03","FY20-H2","H2","HTM-02","FY20M07","FY20-Q3","Q3","QTD-07","QTM-06","FY20","YTD-02","YTM-01","MTD-21","MTM-20"
"CY21-H1","202106","CY21Q2","2021","HTD-01","FY21-H2","H2","HTM","FY21M08","FY21-Q3","Q3","QTD-03","QTM-02","FY21","YTD-01","YTM","MTD-08","MTM-07"
"CY18-H2","201812","CY18Q4","2018","HTD-06","FY19-H1","H1","HTM-05","FY19M02","FY19-Q1","Q1","QTD-13","QTM-12","FY19","YTD-03","YTM-02","MTD-38","MTM-37"
"CY21-H2","202111","CY21Q4","2021","HTD","FY22-H1","H1",".","FY22M01","FY22-Q1","Q1","QTD-01","QTM","FY22","YTD",".","MTD-03","MTM-02"
"CY21-H1","202101","CY21Q1","2021","HTD-02","FY21-H1","H1","HTM-01","FY21M03","FY21-Q1","Q1","QTD-05","QTM-04","FY21","YTD-01","YTM","MTD-13","MTM-12"
"CY19-H2","201911","CY19Q4","2019","HTD-04","FY20-H1","H1","HTM-03","FY20M01","FY20-Q1","Q1","QTD-09","QTM-08","FY20","YTD-02","YTM-01","MTD-27","MTM-26"
