"3-TRZADL","-1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Commercial","Value-Added-Reseller","Unknown","Unknown","Headquarters","Headquarters","10337935","Supplymates LLC","3-TRZADL","-1","Unknown","Y","Reporting Final Tier","Unknown","10337935","Supplymates LLC","3-TRZADL","Unknown","-1","Unknown","Supplymates LLC HQ","-1","3-TRZADL","Supplymates LLC","PM_AMP_SYNERGY","HP Amplify Synergy Partner","19","10","9","CY22Q1","63","54","9","FY22","FY22Q2","FY22H1","127","54","73","0",2022-02-11 00:00:00.0000000,"2022-02-01","2","19","10","9","63","54","9","2022-02-11","3-TRZADL","1","2022-02-13","5","202202","255","-1","256","Reseller","T2 Reseller"
"3-HSIB-18919","-1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Commercial","Distributor","Full Line Distributor","Unknown","Headquarters","Headquarters","10304152","Nexsys del Peru S.A.C.","3-HSIB-18919","-1","Unknown","Y","Reporting Distributor","Unknown","10304152","Nexsys del Peru S.A.C.","3-HSIB-18919","Sub Region","991001059138","NEXSYS LATAM SUB REGIONAL HQ","NEXSYS LATAM SUB REGIONAL HQ","991001059138","991001059138","NEXSYS LATAM SUB REGIONAL HQ","Unknown","Unknown","19","5","14","CY22Q1","63","49","14","FY22","FY22Q2","FY22H1","127","49","78","0",2022-02-18 00:00:00.0000000,"2022-02-01","2","19","5","14","63","49","14","2022-02-18","3-HSIB-18919","1","2022-02-20","5","202202","255","-1","256","Distributor","T1 Distributor"
"3-HSE4-736","-1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Commercial","Value-Added-Reseller","Unknown","Unknown","Headquarters","Headquarters","10241694","OPACS Inc","3-HSE4-736","-1","Unknown","Y","Reporting Final Tier","Unknown","10241694","OPACS Inc","3-HSE4-736","Unknown","-1","Unknown","OPACS Inc HQ","-1","3-HSE4-736","O.P.A.C.S., Inc.","PM_AMP_SYNERGY","HP Amplify Synergy Partner","19","5","14","CY22Q1","63","49","14","FY22","FY22Q2","FY22H1","127","49","78","0",2022-02-18 00:00:00.0000000,"2022-02-01","2","19","5","14","63","49","14","2022-02-18","3-HSE4-736","1","2022-02-20","5","202202","255","-1","256","Reseller","T2 Reseller"
"3-HSIP-1200","-1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Commercial","Value-Added-Reseller","Unknown","Unknown","Headquarters","Headquarters","10311434","Arg Color Srl","3-HSIP-1200","-1","Unknown","Y","Reporting Final Tier","Unknown","10311434","Arg Color Srl","3-HSIP-1200","Unknown","-1","Unknown","Arg Color Srl HQ","-1","3-HSIP-1200","Arg Color Srl","PM_AMP_POWER","HP Amplify Power Partner","19","5","14","CY22Q1","63","49","14","FY22","FY22Q2","FY22H1","127","49","78","0",2022-02-18 00:00:00.0000000,"2022-02-01","2","19","5","14","63","49","14","2022-02-18","3-HSIP-1200","1","2022-02-20","5","202202","255","-1","256","Reseller","T2 Reseller"
"3-HSGW-9120","-1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Commercial","Value-Added-Reseller","Unknown","Unknown","Branch","Headquarters","10358750","Data Source Media","3-VXJTK0","-1","Unknown","Y","Reporting Final Tier","Unknown","10269797","Data Source Media, Inc.","3-HSGW-9120","Unknown","-1","Unknown","Data Source Media HQ","-1","3-VXJTK0","Print Image Solutions Inc","PM_AMP_POWER_SERV","HP Amplify Power Services Partner","19","5","14","CY22Q1","63","49","14","FY22","FY22Q2","FY22H1","127","49","78","0",2022-02-19 00:00:00.0000000,"2022-02-01","2","19","5","14","63","49","14","2022-02-19","3-VXJTK0","0","2022-02-20","6","202202","255","-1","256","Reseller","T2 Reseller"
"3-HSIP-5354","-1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Commercial","Value-Added-Reseller","Unknown","Unknown","Headquarters","Headquarters","10315588","Cash Business, S. de R.L","3-HSIP-5354","-1","Unknown","Y","Reporting Final Tier","Unknown","10315588","Cash Business, S. de R.L","3-HSIP-5354","Unknown","-1","Unknown","Cash Business, S. de R.L HQ","-1","3-HSIP-5354","Cash Business, S. de R.L","PM_AMP_POWER","HP Amplify Power Partner","19","7","12","CY22Q1","63","51","12","FY22","FY22Q2","FY22H1","127","51","76","0",2022-02-16 00:00:00.0000000,"2022-02-01","2","19","7","12","63","51","12","2022-02-16","3-HSIP-5354","1","2022-02-20","3","202202","255","-1","256","Reseller","T2 Reseller"
"3-HSIB-2867","-1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Commercial","Value-Added-Reseller","Unknown","Unknown","Headquarters","Headquarters","10288100","World Wide Technology, LLC","3-HSIB-2867","-1","Unknown","Y","Reporting Final Tier","Unknown","10288100","World Wide Technology, LLC","3-HSIB-2867","Unknown","-1","Unknown","World Wide Technology, LLC HQ","-1","3-HSIB-2867","World Wide Technology LLC","PM_AMP_POWER_SERV","HP Amplify Power Services Partner","19","3","16","CY22Q1","63","47","16","FY22","FY22Q2","FY22H1","127","47","80","0",2022-02-23 00:00:00.0000000,"2022-02-01","2","19","3","16","63","47","16","2022-02-23","3-HSIB-2867","1","2022-02-27","3","202202","255","-1","256","Reseller","T2 Reseller"
"991000222637","-1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Headquarters","Headquarters","991000222637","Worldwide Electronics Digital Enterprise","991000222637","-1","Unknown","Y","Reporting Distributor","Unknown","991000222637","Worldwide Electronics Digital Enterprise","991000222637","Unknown","-1","Unknown","Worldwide Electronics Digital Enterprise HQ","-1","991000222637","Worldwide Electronics Digital Enterprise","Unknown","Unknown","22","18","4","CY20Q1","63","40","23","FY20","FY20Q2","FY20H1","124","40","84","0",2020-03-05 00:00:00.0000000,"2020-03-01","3","22","18","4","63","40","23","2020-03-05","991000222637","1","2020-03-08","4","202003","252","168","84","Distributor","T1 Distributor"
"3-HSIB-14649","-1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Commercial","Value-Added-Reseller","Unknown","Unknown","Branch","Headquarters","10304060","Kelley Connect","3-HSIB-18827","-1","Unknown","Y","Reporting Final Tier","Unknown","10299882","Kelley Connect","3-HSIB-14649","Unknown","-1","Unknown","Kelley Connect HQ","-1","3-HSIB-18827","Kelley Connect Co","PM_AMP_POWER_SERV","HP Amplify Power Services Partner","20","0","20","CY22Q1","64","0","64","FY22","FY22Q1","FY22H1","127","63","64","0",2022-01-31 00:00:00.0000000,"2022-01-01","1","20","0","20","64","0","64","2022-01-31","3-HSIB-18827","1","2022-02-06","1","202201","255","-1","256","Reseller","T2 Reseller"
"3-HSE4-699","-1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Commercial","Value-Added-Reseller","Unknown","Unknown","Headquarters","Headquarters","10241657","Applied Imaging","3-HSE4-699","-1","Unknown","Y","Reporting Final Tier","Unknown","10241657","Applied Imaging","3-HSE4-699","Unknown","-1","Unknown","Applied Imaging HQ","-1","3-HSE4-699","Applied Imaging","PM_AMP_POWER_SERV","HP Amplify Power Services Partner","20","0","20","CY22Q1","64","0","64","FY22","FY22Q1","FY22H1","127","63","64","0",2022-01-31 00:00:00.0000000,"2022-01-01","1","20","0","20","64","0","64","2022-01-31","3-HSE4-699","1","2022-02-06","1","202201","255","-1","256","Reseller","T2 Reseller"
